fault,top_variables
1,"xmv_3(43.8sd), xmeas_1(43.7sd), xmeas_4(19.8sd), xmv_4(15.7sd), xmv_9(8.2sd)"
2,"xmeas_34(82.6sd), xmeas_10(80.4sd), xmeas_28(77.1sd), xmv_6(75.2sd), xmeas_22(24.5sd)"
3,"xmeas_21(1.1sd), xmv_10(1.0sd), xmeas_9(0.1sd), xmeas_14(0.1sd), xmeas_34(0.1sd)"
4,"xmv_10(45.3sd), xmv_1(0.1sd), xmeas_2(0.1sd), xmeas_35(0.1sd), xmeas_11(0.1sd)"
5,"xmv_11(13.6sd), xmeas_22(1.2sd), xmeas_21(0.8sd), xmeas_11(0.8sd), xmv_2(0.8sd)"
6,"xmv_10(144.8sd), xmeas_23(80.5sd), xmv_4(73.9sd), xmeas_16(70.6sd), xmeas_29(69.0sd)"
7,"xmv_4(65.3sd), xmv_9(1.7sd), xmeas_8(1.4sd), xmeas_19(1.2sd), xmeas_18(0.9sd)"
8,"xmeas_23(4.6sd), xmeas_29(4.1sd), xmeas_31(3.1sd), xmeas_25(2.9sd), xmeas_34(2.4sd)"
9,"xmeas_39(0.1sd), xmv_1(0.1sd), xmv_11(0.1sd), xmeas_21(0.1sd), xmeas_35(0.1sd)"
10,"xmv_9(0.3sd), xmeas_19(0.3sd), xmeas_18(0.1sd), xmeas_24(0.1sd), xmeas_6(0.1sd)"
11,"xmv_10(3.2sd), xmv_1(0.1sd), xmv_11(0.1sd), xmeas_17(0.1sd), xmeas_40(0.0sd)"
12,"xmv_5(4.4sd), xmv_2(3.0sd), xmeas_19(2.8sd), xmv_9(2.7sd), xmv_11(2.5sd)"
13,"xmv_9(4.7sd), xmeas_19(3.2sd), xmeas_22(2.6sd), xmeas_16(2.3sd), xmeas_11(2.3sd)"
14,"xmv_10(0.7sd), xmeas_34(0.3sd), xmeas_28(0.2sd), xmeas_36(0.0sd), xmv_1(0.0sd)"
15,"xmeas_36(0.1sd), xmeas_28(0.1sd), xmeas_24(0.1sd), xmeas_34(0.1sd), xmeas_25(0.0sd)"
16,"xmv_9(0.3sd), xmeas_15(0.1sd), xmv_8(0.1sd), xmeas_32(0.0sd), xmeas_14(0.0sd)"
17,"xmeas_21(118.3sd), xmv_10(36.1sd), xmeas_9(0.8sd), xmeas_34(0.2sd), xmeas_28(0.1sd)"
18,"xmv_2(79.4sd), xmv_1(56.3sd), xmeas_22(50.0sd), xmv_4(39.2sd), xmv_10(36.4sd)"
19,"xmeas_5(0.2sd), xmv_5(0.1sd), xmeas_6(0.0sd), xmv_1(0.0sd), xmeas_29(0.0sd)"
20,"xmv_5(7.4sd), xmeas_20(4.2sd), xmeas_22(2.9sd), xmeas_13(2.9sd), xmeas_11(1.6sd)"
