fold,seed,MSP,Energy,Entropy,KNN,Conformal,Mahalanobis
"[16, 17, 18]",42,0.6395,0.3713,0.6253,0.8879,0.6395,0.8198
"[16, 17, 18]",7,0.3534,0.3511,0.3452,0.8976,0.3534,0.8264
"[16, 17, 18]",123,0.3933,0.3628,0.3776,0.8708,0.3933,0.8302
"[1, 2, 4]",42,0.2829,0.1871,0.2327,0.9216,0.2829,0.9184
"[1, 2, 4]",7,0.2165,0.1414,0.1681,0.8949,0.2165,0.9125
"[1, 2, 4]",123,0.2223,0.1054,0.2017,0.9192,0.2223,0.9245
"[5, 6, 7]",42,0.6047,0.5534,0.5965,0.9464,0.6047,0.9345
"[5, 6, 7]",7,0.6269,0.5394,0.6126,0.9127,0.6269,0.9136
"[5, 6, 7]",123,0.7012,0.5184,0.6793,0.922,0.7012,0.924
"[8, 10, 11]",42,0.8233,0.8883,0.8341,0.8367,0.8233,0.7861
"[8, 10, 11]",7,0.8093,0.8644,0.8314,0.8084,0.8093,0.7605
"[8, 10, 11]",123,0.8097,0.8718,0.8242,0.8615,0.8097,0.8051
"[12, 13, 14]",42,0.6078,0.439,0.6044,0.9763,0.6078,0.9687
"[12, 13, 14]",7,0.6393,0.4646,0.6352,0.9825,0.6393,0.967
"[12, 13, 14]",123,0.6337,0.3979,0.6292,0.9815,0.6337,0.972
MEAN+/-STD (all folds/seeds),,0.558 +/- 0.210,0.470 +/- 0.249,0.547 +/- 0.227,0.908 +/- 0.051,0.558 +/- 0.210,0.884 +/- 0.072
