variable,saliency
xmeas_21,0.99012655
xmv_10,0.4668609
xmeas_18,0.27258384
xmeas_9,0.26762387
xmeas_19,0.25951722
xmeas_13,0.20763063
xmv_1,0.18848264
xmeas_16,0.15221542
xmeas_20,0.1378619
xmv_5,0.13254704
xmeas_7,0.12761095
xmv_11,0.12624152
xmv_3,0.12523995
xmv_4,0.12285864
xmeas_4,0.12262431
xmeas_11,0.11809129
xmv_9,0.10631688
xmeas_1,0.1039464
xmeas_22,0.09477395
xmv_6,0.071953446
xmeas_2,0.06837942
xmv_2,0.06319927
xmeas_38,0.062061302
xmeas_29,0.059055313
xmv_8,0.058346167
xmeas_10,0.057658665
xmeas_27,0.056734174
xmeas_5,0.056390118
xmeas_15,0.055931896
xmeas_31,0.0544661
xmeas_23,0.04840725
xmeas_33,0.048214097
xmeas_34,0.04669415
xmeas_25,0.04483493
xmeas_12,0.04471631
xmeas_35,0.044107858
xmeas_28,0.041391026
xmeas_17,0.041195985
xmv_7,0.04106221
xmeas_36,0.038966574
xmeas_3,0.038233023
xmeas_26,0.037369758
xmeas_6,0.03730035
xmeas_30,0.031832647
xmeas_8,0.028725794
xmeas_24,0.025424203
xmeas_32,0.025168667
xmeas_41,0.024892818
xmeas_39,0.02424876
xmeas_40,0.023981422
xmeas_37,0.01940487
xmeas_14,0.019228157
